	rt	mkt	smb 	hml
200604	0.98	0.73	-0.82	2.59
200605	-6.6	-3.57	-2.99	2.55
200606	-0.55	-0.35	-0.24	0.87
200607	-1.53	-0.78	-3.69	2.94
200608	-8.94	2.03	0.44	-1.72
200609	-0.33	1.84	-1.44	0.05
200610	0.9	3.23	1.93	-0.04
200611	-3.28	1.71	0.82	0.07
200612	1.72	0.87	-0.79	3.16
200701	0.39	1.4	0.08	-0.11
200702	-2.54	-1.96	1.4	-0.09
200703	2.94	0.68	0.06	-0.22
200704	-1.39	3.49	-2.02	-1.15
200705	2.16	3.24	0.29	-0.05
200706	1.46	-1.96	0.76	-1.13
200707	2.86	-3.73	-2.88	-3.34
200708	2.89	0.92	-0.34	-2.24
200709	5.55	3.22	-2.42	-1.87
200710	9.21	1.8	0.03	-2.59
200711	7.72	-4.83	-2.82	-1.18
200712	11.15	-0.87	0.17	-0.52
200801	-16.57	-6.36	-0.51	3.65
200802	15.01	-3.09	-0.52	-0.95
200803	9.48	-0.93	0.74	-0.15
200804	2.99	4.6	-1.15	-0.96
200805	9.46	1.86	3.21	-1.38
200806	20.21	-8.44	1.14	-2.43
200807	-12.04	-0.77	3.67	5.81
200808	2.14	1.53	3.42	1.56
200809	7.93	-9.24	0.38	6.33
200810	11.17	-17.23	-3.22	-2.9
200811	11.68	-7.86	-3.89	-5.94
200812	-3.09	1.74	3.36	-0.24
200901	-3.68	-8.12	-2.06	-11.1
200902	21.08	-10.1	-1.19	-7.25
200903	-39.76	8.95	0.66	3.52
200904	-45.58	10.19	6.73	5.46
200905	-19.18	5.21	-2.33	-0.21
200906	9.24	0.43	2.32	-2.71
200907	-6.51	7.72	2.43	5.27
200908	-25.38	3.33	-0.04	7.76
200909	-3.65	4.08	2.74	0.92
200910	9.14	-2.59	-4.78	-4.18
200911	1.38	5.56	-2.79	-0.17
200912	4.13	2.75	6.22	0.01
201001	-8.69	-3.36	0.3	0.31
201002	7.03	3.4	1.46	3.17
201003	4.07	6.31	1.78	2.1
201004	6.38	2	5.05	2.81
201005	-0.89	-7.89	0.06	-2.38
201006	-4.27	-5.56	-2.5	-4.5
201007	3.37	6.93	0.09	-0.26
201008	-1.42	-4.77	-3.12	-1.96
201009	1.99	9.54	3.73	-3.12
201010	2.03	3.88	0.79	-2.59
201011	6.9	0.6	3.6	-0.9
201012	-9.25	6.82	0.97	3.82
201101	-3.45	1.99	-2.4	0.83
201102	2.63	3.49	1.63	1.08
201103	5.07	0.45	2.66	-1.57
201104	3.4	2.9	-0.52	-2.53
201105	0.64	-1.27	-0.7	-2.07
201106	5.37	-1.75	0.1	-0.33
201107	2.55	-2.36	-1.29	-1.23
201108	5.81	-5.99	-3.21	-2.44
201109	-4.1	-7.59	-3.74	-1.46
201110	-1.21	11.35	3.56	-0.17
201111	6.22	-0.28	-0.27	-0.34
201112	2.18	0.74	-0.45	1.75
201201	-15.83	5.05	2.15	-1.11
201202	-0.76	4.42	-1.63	0.09
201203	0.49	3.11	-0.45	0.87
201204	6.71	-0.85	-0.59	-0.46
201205	8.29	-6.19	-0.08	-0.62
201206	-1.6	3.89	0.96	0.44
201207	4.59	0.79	-2.65	-0.26
201208	1.7	2.55	0.46	1.32
201209	-1.43	2.73	0.68	1.54
201210	-1.92	-1.76	-0.8	3.79
201211	2.96	0.78	0.35	-0.96
201212	-4.38	1.18	1.87	3.56
201301	-3.59	5.57	0.56	0.95
201302	3.01	1.29	-0.37	0.03
201303	-0.07	4.03	0.78	-0.29
201304	-0.96	1.55	-2.29	0.63
201305	0.58	2.8	2.07	2.6
201306	2.15	-1.2	1.4	-0.18
201307	-1.89	5.65	1.8	0.56
201308	-5.35	-2.71	-0.02	-2.78
201309	6.4	3.77	2.68	-1.19
201310	-1.32	4.18	-1.51	1.14
201311	0.45	3.12	1.35	0.24
201312	-0.17	2.81	-0.53	-0.31
201401	5.27	-3.32	0.59	-2.09
201402	1.25	4.65	0.13	-0.4
201403	-7.64	0.43	-1.17	5.08
201404	-4.67	-0.19	-4.17	1.14
201405	2.31	2.06	-1.89	-0.27
201406	-0.52	2.61	3.08	-0.74
201407	2.29	-2.04	-4.25	0.01
201408	0.48	4.24	0.29	-0.58
201409	4.81	-1.97	-3.79	-1.23
201410	-0.16	2.52	3.79	-1.68
201411	5.35	2.55	-2.31	-2.99
201412	-0.36	-0.06	2.87	2.06
201501	8.46	-3.11	-0.86	-3.47
201502	-4.51	6.13	0.2	-1.79
201503	3.83	-1.12	3.04	-0.46
201504	-13.95	0.59	-3.02	1.86
201505	12.81	1.36	0.76	-1.37
201506	5.25	-1.53	2.87	-0.79
201507	20.39	1.54	-4.55	-4.12
201508	-4.16	-6.04	0.4	2.68
201509	12.2	-3.08	-2.78	0.52
201510	-4.62	7.75	-2.16	-0.08
201511	5.84	0.56	3.34	-0.52
201512	3.36	-2.17	-2.98	-2.58
201601	7.17	-5.77	-3.43	2.1
201602	-6.31	-0.07	0.94	-0.48
201603	-8.18	6.96	1.1	1.12
201604	-19.77	0.92	1.17	3.26
